Seizoen,Speeldag,Datum,Tijdstip,Match_ID,Thuisploeg_stamnummer,Thuisploeg_roepnaam,Uitploeg_stamnummer,Uitploeg_roepnaam,Resultaat_Thuisploeg,Resultaat_Uitploeg
2008-2009,18,2009-01-17,20:00,910972,224,Excelsior Mouscron,5632,AFC Tubize,1,1
2008-2009,18,2009-01-17,20:00,913441,16,Standard Luik,3900,FCV Dender EH,3,2
2008-2009,18,2009-01-18,18:00,910973,22,R Charleroi SC,2024,KVC Westerlo,1,2
2008-2009,18,2009-01-18,20:30,910966,3530,Germinal,322,KRC Genk,4,1
2008-2009,19,2009-01-24,20:00,910976,322,KRC Genk,44,RAEC Mons,2,0
2008-2009,19,2009-01-24,20:00,910977,134,KSV Roeselare,22,R Charleroi SC,3,1
2008-2009,19,2009-01-24,20:00,910978,5632,AFC Tubize,282,KSC Lokeren,2,1
2008-2009,19,2009-01-24,20:00,910979,25,KV Mechelen,224,Excelsior Mouscron,2,2
2008-2009,19,2009-01-24,20:00,910980,12,Cercle Brugge,19,KV Kortrijk,0,1
2008-2009,19,2009-01-24,20:00,910981,3900,FCV Dender EH,3530,Germinal,0,1
2008-2009,19,2009-01-25,18:00,910974,5381,SV Zulte Waregem,3,Club Brugge,3,1
2008-2009,19,2009-01-25,20:30,913442,2024,KVC Westerlo,16,Standard Luik,0,1
2008-2009,19,2009-02-18,20:30,910975,7,KAA Gent,35,RSC Anderlecht,1,2
2008-2009,20,2009-01-31,18:00,910989,3530,Germinal,2024,KVC Westerlo,2,1
2008-2009,20,2009-01-31,20:00,910982,19,KV Kortrijk,35,RSC Anderlecht,1,3
2008-2009,20,2009-01-31,20:00,910984,44,RAEC Mons,12,Cercle Brugge,1,1
2008-2009,20,2009-01-31,20:00,910986,224,Excelsior Mouscron,3900,FCV Dender EH,0,2
2008-2009,20,2009-01-31,20:00,910987,5381,SV Zulte Waregem,25,KV Mechelen,1,1
2008-2009,20,2009-01-31,20:00,910988,3,Club Brugge,5632,AFC Tubize,3,1
2008-2009,20,2009-01-31,20:00,913443,16,Standard Luik,134,KSV Roeselare,3,0
2008-2009,20,2009-02-01,18:00,910985,22,R Charleroi SC,7,KAA Gent,2,5
2008-2009,20,2009-02-01,20:30,910983,282,KSC Lokeren,322,KRC Genk,1,2
2008-2009,21,2009-02-06,20:30,913444,19,KV Kortrijk,16,Standard Luik,0,2
2008-2009,21,2009-02-07,20:00,910990,3900,FCV Dender EH,3,Club Brugge,0,2
2008-2009,21,2009-02-07,20:00,910991,35,RSC Anderlecht,44,RAEC Mons,3,2
2008-2009,21,2009-02-07,20:00,910992,322,KRC Genk,5381,SV Zulte Waregem,1,2
2008-2009,21,2009-02-07,20:00,910995,5632,AFC Tubize,25,KV Mechelen,1,5
2008-2009,21,2009-02-07,20:00,910996,7,KAA Gent,224,Excelsior Mouscron,2,0
2008-2009,21,2009-02-07,20:00,910997,134,KSV Roeselare,3530,Germinal,2,2
2008-2009,21,2009-02-08,18:00,910994,2024,KVC Westerlo,282,KSC Lokeren,1,0
2008-2009,21,2009-02-08,20:30,910993,12,Cercle Brugge,22,R Charleroi SC,2,2
2008-2009,22,2009-02-14,18:00,911000,3530,Germinal,12,Cercle Brugge,1,1
2008-2009,22,2009-02-14,20:00,913445,16,Standard Luik,5632,AFC Tubize,4,0
2008-2009,22,2009-02-14,20:00,911001,25,KV Mechelen,7,KAA Gent,3,3
2008-2009,22,2009-02-14,20:00,911002,5381,SV Zulte Waregem,3900,FCV Dender EH,1,0
2008-2009,22,2009-02-14,20:00,911003,282,KSC Lokeren,134,KSV Roeselare,2,1
2008-2009,22,2009-02-14,20:00,911004,44,RAEC Mons,19,KV Kortrijk,1,1
2008-2009,22,2009-02-14,20:00,911005,224,Excelsior Mouscron,2024,KVC Westerlo,0,0
2008-2009,22,2009-02-15,18:00,910998,22,R Charleroi SC,35,RSC Anderlecht,0,1
2008-2009,22,2009-02-15,20:30,910999,3,Club Brugge,322,KRC Genk,0,2
2008-2009,23,2009-02-20,20:30,911012,322,KRC Genk,224,Excelsior Mouscron,1,1
2008-2009,23,2009-02-21,20:00,911007,134,KSV Roeselare,44,RAEC Mons,3,2
2008-2009,23,2009-02-21,20:00,911008,5632,AFC Tubize,5381,SV Zulte Waregem,0,6
2008-2009,23,2009-02-21,20:00,911009,19,KV Kortrijk,22,R Charleroi SC,1,1
2008-2009,23,2009-02-21,20:00,911010,12,Cercle Brugge,282,KSC Lokeren,0,0
2008-2009,23,2009-02-21,20:00,911011,3900,FCV Dender EH,25,KV Mechelen,1,2
2008-2009,23,2009-02-21,20:00,911013,7,KAA Gent,3530,Germinal,1,3
2008-2009,23,2009-02-22,18:00,911006,2024,KVC Westerlo,3,Club Brugge,1,1
2008-2009,23,2009-02-22,20:30,913446,35,RSC Anderlecht,16,Standard Luik,4,2
2008-2009,24,2009-02-27,20:30,911015,25,KV Mechelen,322,KRC Genk,2,1
2008-2009,24,2009-02-28,20:00,911014,224,Excelsior Mouscron,35,RSC Anderlecht,1,1
2008-2009,24,2009-02-28,20:00,911016,22,R Charleroi SC,44,RAEC Mons,3,0
2008-2009,24,2009-02-28,20:00,911018,3,Club Brugge,134,KSV Roeselare,2,1
2008-2009,24,2009-02-28,20:00,911019,3530,Germinal,19,KV Kortrijk,3,0
2008-2009,24,2009-02-28,20:00,911020,3900,FCV Dender EH,5632,AFC Tubize,4,0
2008-2009,24,2009-02-28,20:00,911021,5381,SV Zulte Waregem,2024,KVC Westerlo,1,1
2008-2009,24,2009-03-01,18:00,911017,282,KSC Lokeren,7,KAA Gent,0,1
2008-2009,24,2009-03-01,20:30,913447,16,Standard Luik,12,Cercle Brugge,4,0
2008-2009,25,2009-03-06,20:30,913448,44,RAEC Mons,16,Standard Luik,0,1
2008-2009,25,2009-03-07,20:00,911023,35,RSC Anderlecht,5381,SV Zulte Waregem,2,0
2008-2009,25,2009-03-07,20:00,911024,19,KV Kortrijk,282,KSC Lokeren,2,3
2008-2009,25,2009-03-07,20:00,911025,322,KRC Genk,3900,FCV Dender EH,4,3
2008-2009,25,2009-03-07,20:00,911027,134,KSV Roeselare,224,Excelsior Mouscron,2,0
2008-2009,25,2009-03-07,20:00,911028,7,KAA Gent,5632,AFC Tubize,2,0
2008-2009,25,2009-03-07,20:00,911029,22,R Charleroi SC,3530,Germinal,0,0
2008-2009,25,2009-03-08,18:00,911026,2024,KVC Westerlo,25,KV Mechelen,0,1
2008-2009,25,2009-03-08,20:30,911022,12,Cercle Brugge,3,Club Brugge,1,3
2008-2009,26,2009-03-13,20:30,911030,25,KV Mechelen,35,RSC Anderlecht,2,1
2008-2009,26,2009-03-14,20:00,911031,3530,Germinal,44,RAEC Mons,2,0
2008-2009,26,2009-03-14,20:00,911032,282,KSC Lokeren,22,R Charleroi SC,0,0
2008-2009,26,2009-03-14,20:00,911033,3900,FCV Dender EH,12,Cercle Brugge,1,0
2008-2009,26,2009-03-14,20:00,911035,5381,SV Zulte Waregem,134,KSV Roeselare,0,0
2008-2009,26,2009-03-14,20:00,911036,224,Excelsior Mouscron,19,KV Kortrijk,1,0
2008-2009,26,2009-03-14,20:00,911037,5632,AFC Tubize,2024,KVC Westerlo,1,2
2008-2009,26,2009-03-15,18:00,911034,3,Club Brugge,7,KAA Gent,1,4
2008-2009,26,2009-03-15,20:30,913449,16,Standard Luik,322,KRC Genk,2,0
2008-2009,27,2009-03-20,20:30,911038,19,KV Kortrijk,3,Club Brugge,2,3
2008-2009,27,2009-03-21,20:00,911040,44,RAEC Mons,282,KSC Lokeren,0,2
2008-2009,27,2009-03-21,20:00,911041,2024,KVC Westerlo,3900,FCV Dender EH,3,1
2008-2009,27,2009-03-21,20:00,911042,134,KSV Roeselare,25,KV Mechelen,1,0
2008-2009,27,2009-03-21,20:00,911043,12,Cercle Brugge,224,Excelsior Mouscron,0,1
2008-2009,27,2009-03-21,20:00,911044,322,KRC Genk,5632,AFC Tubize,3,0
2008-2009,27,2009-03-21,20:00,911045,35,RSC Anderlecht,3530,Germinal,2,0
2008-2009,27,2009-03-22,18:00,911039,7,KAA Gent,5381,SV Zulte Waregem,1,0
2008-2009,27,2009-03-22,20:30,913450,22,R Charleroi SC,16,Standard Luik,1,0
2008-2009,28,2009-04-04,18:00,911049,5381,SV Zulte Waregem,12,Cercle Brugge,3,1
2008-2009,28,2009-04-04,20:00,911052,25,KV Mechelen,19,KV Kortrijk,1,1
2008-2009,28,2009-04-04,20:00,911053,322,KRC Genk,2024,KVC Westerlo,1,4
2008-2009,28,2009-04-04,20:00,911047,224,Excelsior Mouscron,44,RAEC Mons,3,2
2008-2009,28,2009-04-04,20:00,911048,3,Club Brugge,22,R Charleroi SC,2,1
2008-2009,28,2009-04-04,20:00,911050,3900,FCV Dender EH,7,KAA Gent,1,1
2008-2009,28,2009-04-04,20:00,911051,5632,AFC Tubize,134,KSV Roeselare,0,1
2008-2009,28,2009-04-05,18:00,913451,16,Standard Luik,3530,Germinal,3,1
2008-2009,28,2009-04-05,20:30,911046,282,KSC Lokeren,35,RSC Anderlecht,0,0
2008-2009,29,2009-04-10,20:30,911055,134,KSV Roeselare,322,KRC Genk,1,0
2008-2009,29,2009-04-11,20:00,911056,3530,Germinal,5381,SV Zulte Waregem,1,2
2008-2009,29,2009-04-11,20:00,911057,19,KV Kortrijk,3900,FCV Dender EH,1,2
2008-2009,29,2009-04-11,20:00,911058,44,RAEC Mons,25,KV Mechelen,0,1
2008-2009,29,2009-04-11,20:00,911059,22,R Charleroi SC,224,Excelsior Mouscron,1,0
2008-2009,29,2009-04-11,20:00,911060,12,Cercle Brugge,5632,AFC Tubize,4,1
2008-2009,29,2009-04-11,20:00,913452,16,Standard Luik,282,KSC Lokeren,1,0
2008-2009,29,2009-04-12,18:00,911061,7,KAA Gent,2024,KVC Westerlo,2,0
2008-2009,29,2009-04-12,20:30,911054,35,RSC Anderlecht,3,Club Brugge,1,0
2008-2009,30,2009-04-17,20:30,911066,322,KRC Genk,7,KAA Gent,2,2
2008-2009,30,2009-04-18,20:00,911063,3,Club Brugge,44,RAEC Mons,3,2
2008-2009,30,2009-04-18,20:00,911064,5632,AFC Tubize,22,R Charleroi SC,3,1
2008-2009,30,2009-04-18,20:00,911065,25,KV Mechelen,12,Cercle Brugge,0,1
2008-2009,30,2009-04-18,20:00,911068,5381,SV Zulte Waregem,19,KV Kortrijk,5,1
2008-2009,30,2009-04-18,20:00,911069,282,KSC Lokeren,3530,Germinal,1,0
2008-2009,30,2009-04-18,20:00,913453,224,Excelsior Mouscron,16,Standard Luik,0,3
2008-2009,30,2009-04-19,18:00,911062,2024,KVC Westerlo,35,RSC Anderlecht,0,1
2008-2009,30,2009-04-19,20:30,911067,3900,FCV Dender EH,134,KSV Roeselare,3,1
2008-2009,31,2009-04-24,20:30,911070,3530,Germinal,3,Club Brugge,2,0
2008-2009,31,2009-04-25,20:00,911072,22,R Charleroi SC,5381,SV Zulte Waregem,1,0
2008-2009,31,2009-04-25,20:00,911074,35,RSC Anderlecht,3900,FCV Dender EH,4,0
2008-2009,31,2009-04-25,20:00,911075,282,KSC Lokeren,224,Excelsior Mouscron,3,0
2008-2009,31,2009-04-25,20:00,911076,19,KV Kortrijk,5632,AFC Tubize,2,2
2008-2009,31,2009-04-25,20:00,911077,44,RAEC Mons,2024,KVC Westerlo,0,2
2008-2009,31,2009-04-25,20:00,913454,16,Standard Luik,25,KV Mechelen,4,1
2008-2009,31,2009-04-26,18:00,911073,134,KSV Roeselare,7,KAA Gent,1,3
2008-2009,31,2009-04-26,20:30,911071,12,Cercle Brugge,322,KRC Genk,1,2
2008-2009,32,2009-05-01,20:30,911082,3,Club Brugge,282,KSC Lokeren,2,3
2008-2009,32,2009-05-02,20:00,911079,3900,FCV Dender EH,44,RAEC Mons,0,0
2008-2009,32,2009-05-02,20:00,911080,25,KV Mechelen,22,R Charleroi SC,2,1
2008-2009,32,2009-05-02,20:00,911081,7,KAA Gent,12,Cercle Brugge,2,1
2008-2009,32,2009-05-02,20:00,911083,2024,KVC Westerlo,134,KSV Roeselare,1,0
2008-2009,32,2009-05-02,20:00,911085,224,Excelsior Mouscron,3530,Germinal,3,1
2008-2009,32,2009-05-02,20:00,913455,5381,SV Zulte Waregem,16,Standard Luik,0,0
2008-2009,32,2009-05-03,18:00,911084,322,KRC Genk,19,KV Kortrijk,0,1
2008-2009,32,2009-05-03,20:30,911078,5632,AFC Tubize,35,RSC Anderlecht,1,1
2008-2009,33,2009-05-08,20:30,911090,3530,Germinal,25,KV Mechelen,3,1
2008-2009,33,2009-05-09,20:00,911086,22,R Charleroi SC,322,KRC Genk,3,0
2008-2009,33,2009-05-09,20:00,911087,224,Excelsior Mouscron,5381,SV Zulte Waregem,0,2
2008-2009,33,2009-05-09,20:00,911088,19,KV Kortrijk,7,KAA Gent,0,2
2008-2009,33,2009-05-09,20:00,911089,282,KSC Lokeren,3900,FCV Dender EH,0,2
2008-2009,33,2009-05-09,20:00,911091,35,RSC Anderlecht,134,KSV Roeselare,3,1
2008-2009,33,2009-05-09,20:00,911092,44,RAEC Mons,5632,AFC Tubize,1,1
2008-2009,33,2009-05-09,20:00,911093,12,Cercle Brugge,2024,KVC Westerlo,2,1
2008-2009,33,2009-05-09,20:00,913456,16,Standard Luik,3,Club Brugge,2,0
2008-2009,34,2009-05-15,20:30,911098,25,KV Mechelen,282,KSC Lokeren,3,0
2008-2009,34,2009-05-16,20:00,911100,2024,KVC Westerlo,19,KV Kortrijk,1,3
2008-2009,34,2009-05-16,20:00,911101,5632,AFC Tubize,3530,Germinal,1,0
2008-2009,34,2009-05-16,20:00,913457,7,KAA Gent,16,Standard Luik,0,1
2008-2009,34,2009-05-16,20:00,911094,322,KRC Genk,35,RSC Anderlecht,0,2
2008-2009,34,2009-05-16,20:00,911095,5381,SV Zulte Waregem,44,RAEC Mons,3,0
2008-2009,34,2009-05-16,20:00,911096,3900,FCV Dender EH,22,R Charleroi SC,1,2
2008-2009,34,2009-05-16,20:00,911097,134,KSV Roeselare,12,Cercle Brugge,1,2
2008-2009,34,2009-05-16,20:00,911099,3,Club Brugge,224,Excelsior Mouscron,4,1
2009-2010,1,2009-07-31,20:30,955116,16,Standard Luik,373,Sint-Truidense VV,2,2
2009-2010,1,2009-08-01,20:00,955120,134,KSV Roeselare,3530,Germinal,1,1
2009-2010,1,2009-08-01,20:00,955121,19,KV Kortrijk,35,RSC Anderlecht,0,2
2009-2010,1,2009-08-01,20:00,955122,25,KV Mechelen,2024,KVC Westerlo,4,1
2009-2010,1,2009-08-01,20:00,955123,282,KSC Lokeren,5381,SV Zulte Waregem,1,1
2009-2010,1,2009-08-02,18:00,955119,22,R Charleroi SC,3,Club Brugge,1,2
2009-2010,1,2009-08-02,20:30,955118,12,Cercle Brugge,7,KAA Gent,1,3
2009-2010,2,2009-08-07,20:30,958258,3530,Germinal,16,Standard Luik,1,1
2009-2010,2,2009-08-08,20:00,958259,35,RSC Anderlecht,12,Cercle Brugge,3,2
2009-2010,2,2009-08-08,20:00,958260,373,Sint-Truidense VV,22,R Charleroi SC,0,0
2009-2010,2,2009-08-08,20:00,958261,5381,SV Zulte Waregem,322,KRC Genk,2,2
2009-2010,2,2009-08-08,20:00,958263,2024,KVC Westerlo,19,KV Kortrijk,1,1
2009-2010,2,2009-08-09,18:00,958264,7,KAA Gent,25,KV Mechelen,2,1
2009-2010,2,2009-08-09,20:30,958265,3,Club Brugge,282,KSC Lokeren,2,0
2009-2010,3,2009-08-15,18:00,958277,35,RSC Anderlecht,2024,KVC Westerlo,3,0
2009-2010,3,2009-08-15,20:00,958278,322,KRC Genk,7,KAA Gent,1,1
2009-2010,3,2009-08-15,20:00,958279,12,Cercle Brugge,5381,SV Zulte Waregem,2,2
2009-2010,3,2009-08-15,20:00,958280,282,KSC Lokeren,373,Sint-Truidense VV,1,2
2009-2010,3,2009-08-15,20:00,958281,25,KV Mechelen,3,Club Brugge,2,1
2009-2010,3,2009-08-15,20:00,958282,134,KSV Roeselare,16,Standard Luik,1,5
2009-2010,3,2009-08-16,20:30,958284,22,R Charleroi SC,3530,Germinal,1,0
2009-2010,4,2009-08-21,20:30,958296,16,Standard Luik,22,R Charleroi SC,1,1
2009-2010,4,2009-08-22,20:00,958298,373,Sint-Truidense VV,134,KSV Roeselare,2,1
2009-2010,4,2009-08-22,20:00,958299,5381,SV Zulte Waregem,35,RSC Anderlecht,0,2
2009-2010,4,2009-08-22,20:00,958300,7,KAA Gent,282,KSC Lokeren,4,1
2009-2010,4,2009-08-22,20:00,958302,3530,Germinal,25,KV Mechelen,1,3
2009-2010,4,2009-08-23,18:00,958297,3,Club Brugge,19,KV Kortrijk,2,2
2009-2010,4,2009-08-23,20:30,958303,2024,KVC Westerlo,322,KRC Genk,0,1
2009-2010,5,2009-08-28,20:30,970886,2024,KVC Westerlo,5381,SV Zulte Waregem,1,2
2009-2010,5,2009-08-29,20:00,970888,19,KV Kortrijk,7,KAA Gent,1,0
2009-2010,5,2009-08-29,20:00,970889,25,KV Mechelen,373,Sint-Truidense VV,0,2
2009-2010,5,2009-08-29,20:00,970890,134,KSV Roeselare,22,R Charleroi SC,1,3
2009-2010,5,2009-08-30,18:00,970892,12,Cercle Brugge,3,Club Brugge,2,3
2009-2010,5,2009-08-30,18:00,970891,322,KRC Genk,3530,Germinal,1,1
2009-2010,5,2009-08-30,20:30,970893,35,RSC Anderlecht,16,Standard Luik,1,1
2009-2010,6,2009-09-12,18:00,970894,373,Sint-Truidense VV,35,RSC Anderlecht,2,1
2009-2010,6,2009-09-12,20:00,970895,16,Standard Luik,25,KV Mechelen,3,0
2009-2010,6,2009-09-12,20:00,970896,5381,SV Zulte Waregem,19,KV Kortrijk,0,2
2009-2010,6,2009-09-12,20:00,970897,22,R Charleroi SC,12,Cercle Brugge,0,4
2009-2010,6,2009-09-12,20:00,970898,7,KAA Gent,134,KSV Roeselare,5,1
2009-2010,6,2009-09-12,20:00,970899,224,Excelsior Mouscron,2024,KVC Westerlo,0,1
2009-2010,6,2009-09-13,18:00,970900,3530,Germinal,282,KSC Lokeren,2,1
2009-2010,6,2009-09-13,20:30,970901,3,Club Brugge,322,KRC Genk,1,1
2009-2010,7,2009-09-18,20:30,973459,322,KRC Genk,22,R Charleroi SC,1,2
2009-2010,7,2009-09-19,20:00,973461,12,Cercle Brugge,3530,Germinal,1,2
2009-2010,7,2009-09-19,20:00,973462,282,KSC Lokeren,16,Standard Luik,1,3
2009-2010,7,2009-09-19,20:00,973463,19,KV Kortrijk,373,Sint-Truidense VV,0,1
2009-2010,7,2009-09-19,20:00,973464,25,KV Mechelen,134,KSV Roeselare,3,2
2009-2010,7,2009-09-20,18:00,973465,2024,KVC Westerlo,3,Club Brugge,1,4
2009-2010,7,2009-09-20,21:00,973466,35,RSC Anderlecht,7,KAA Gent,1,1
2009-2010,8,2009-09-22,20:30,973655,373,Sint-Truidense VV,322,KRC Genk,2,4
2009-2010,8,2009-09-23,20:30,973656,16,Standard Luik,12,Cercle Brugge,1,1
2009-2010,8,2009-09-23,20:30,973657,22,R Charleroi SC,25,KV Mechelen,1,2
2009-2010,8,2009-09-23,20:30,973658,7,KAA Gent,2024,KVC Westerlo,1,2
2009-2010,8,2009-09-23,20:30,973659,134,KSV Roeselare,282,KSC Lokeren,1,2
2009-2010,8,2009-09-23,20:30,973660,3530,Germinal,19,KV Kortrijk,1,0
2009-2010,8,2009-09-23,20:30,973661,3,Club Brugge,5381,SV Zulte Waregem,3,1
2009-2010,9,2009-09-26,20:00,973787,19,KV Kortrijk,16,Standard Luik,0,2
2009-2010,9,2009-09-26,20:00,973788,2024,KVC Westerlo,373,Sint-Truidense VV,2,0
2009-2010,9,2009-09-26,20:00,973789,282,KSC Lokeren,22,R Charleroi SC,4,1
2009-2010,9,2009-09-26,20:00,973790,5381,SV Zulte Waregem,7,KAA Gent,3,1
2009-2010,9,2009-09-26,20:00,973791,322,KRC Genk,134,KSV Roeselare,1,1
2009-2010,9,2009-09-27,18:00,973792,35,RSC Anderlecht,3530,Germinal,1,0
2009-2010,9,2009-09-28,20:30,973794,12,Cercle Brugge,25,KV Mechelen,1,0
2009-2010,10,2009-10-03,20:00,975023,3530,Germinal,2024,KVC Westerlo,3,1
2009-2010,10,2009-10-03,20:00,975024,134,KSV Roeselare,12,Cercle Brugge,3,2
2009-2010,10,2009-10-03,20:00,975025,25,KV Mechelen,282,KSC Lokeren,2,0
2009-2010,10,2009-10-03,20:00,975026,22,R Charleroi SC,19,KV Kortrijk,3,3
2009-2010,10,2009-10-03,20:00,975027,373,Sint-Truidense VV,5381,SV Zulte Waregem,1,2
2009-2010,10,2009-10-04,16:00,975028,3,Club Brugge,35,RSC Anderlecht,4,2
2009-2010,10,2009-10-04,20:30,975029,16,Standard Luik,322,KRC Genk,1,0
2009-2010,11,2009-10-17,18:00,978225,5381,SV Zulte Waregem,3530,Germinal,4,0
2009-2010,11,2009-10-17,20:00,978226,282,KSC Lokeren,12,Cercle Brugge,1,1
2009-2010,11,2009-10-17,20:00,978227,35,RSC Anderlecht,22,R Charleroi SC,2,0
2009-2010,11,2009-10-17,20:00,978228,2024,KVC Westerlo,16,Standard Luik,2,0
2009-2010,11,2009-10-17,20:00,978230,19,KV Kortrijk,134,KSV Roeselare,2,0
2009-2010,11,2009-10-18,18:00,978231,322,KRC Genk,25,KV Mechelen,1,2
2009-2010,11,2009-10-18,20:30,978232,3,Club Brugge,7,KAA Gent,1,0
2009-2010,12,2009-10-23,20:30,978242,282,KSC Lokeren,322,KRC Genk,0,2
2009-2010,12,2009-10-24,20:00,978244,16,Standard Luik,5381,SV Zulte Waregem,1,1
2009-2010,12,2009-10-24,20:00,978245,373,Sint-Truidense VV,7,KAA Gent,1,2
2009-2010,12,2009-10-24,20:00,978246,22,R Charleroi SC,2024,KVC Westerlo,1,1
2009-2010,12,2009-10-24,20:00,978247,12,Cercle Brugge,19,KV Kortrijk,1,1
2009-2010,12,2009-10-25,18:00,978248,134,KSV Roeselare,3,Club Brugge,2,3
2009-2010,12,2009-10-25,20:30,978249,25,KV Mechelen,35,RSC Anderlecht,0,2
2009-2010,13,2009-10-31,20:00,978251,3,Club Brugge,373,Sint-Truidense VV,1,0
2009-2010,13,2009-10-31,20:00,978252,35,RSC Anderlecht,282,KSC Lokeren,2,0
2009-2010,13,2009-10-31,20:00,978253,5381,SV Zulte Waregem,22,R Charleroi SC,2,2
2009-2010,13,2009-10-31,20:00,978254,19,KV Kortrijk,25,KV Mechelen,2,0
2009-2010,13,2009-10-31,20:00,978255,2024,KVC Westerlo,134,KSV Roeselare,2,2
2009-2010,13,2009-11-01,20:30,978256,7,KAA Gent,3530,Germinal,0,1
2009-2010,13,2009-11-02,20:00,978257,322,KRC Genk,12,Cercle Brugge,2,0
2009-2010,14,2009-11-06,20:30,978258,22,R Charleroi SC,7,KAA Gent,0,2
2009-2010,14,2009-11-07,20:00,978259,12,Cercle Brugge,2024,KVC Westerlo,2,1
2009-2010,14,2009-11-07,20:00,978260,282,KSC Lokeren,19,KV Kortrijk,0,0
2009-2010,14,2009-11-07,20:00,978262,134,KSV Roeselare,5381,SV Zulte Waregem,2,0
2009-2010,14,2009-11-07,20:00,978263,3530,Germinal,373,Sint-Truidense VV,4,1
2009-2010,14,2009-11-08,18:00,978264,322,KRC Genk,35,RSC Anderlecht,0,2
2009-2010,14,2009-11-08,20:30,978265,16,Standard Luik,3,Club Brugge,3,1
2009-2010,15,2009-11-21,18:00,978266,7,KAA Gent,16,Standard Luik,2,1
2009-2010,15,2009-11-21,20:00,978267,3,Club Brugge,3530,Germinal,1,2
2009-2010,15,2009-11-21,20:00,978268,35,RSC Anderlecht,134,KSV Roeselare,3,1
2009-2010,15,2009-11-21,20:00,978269,373,Sint-Truidense VV,12,Cercle Brugge,1,1
2009-2010,15,2009-11-21,20:00,978271,2024,KVC Westerlo,282,KSC Lokeren,1,0
2009-2010,15,2009-11-22,18:00,978270,5381,SV Zulte Waregem,25,KV Mechelen,4,1
2009-2010,15,2009-11-22,20:30,978273,19,KV Kortrijk,322,KRC Genk,2,1
2009-2010,16,2009-11-27,20:30,978274,35,RSC Anderlecht,19,KV Kortrijk,1,0
2009-2010,16,2009-11-28,20:00,978275,3,Club Brugge,22,R Charleroi SC,1,0
2009-2010,16,2009-11-28,20:00,978276,7,KAA Gent,12,Cercle Brugge,3,1
2009-2010,16,2009-11-28,20:00,978278,2024,KVC Westerlo,25,KV Mechelen,2,0
2009-2010,16,2009-11-28,20:00,978279,3530,Germinal,134,KSV Roeselare,3,0
2009-2010,16,2009-11-29,18:00,978280,5381,SV Zulte Waregem,282,KSC Lokeren,1,0
2009-2010,16,2009-11-29,20:30,978281,373,Sint-Truidense VV,16,Standard Luik,2,0
2009-2010,17,2009-12-04,20:30,986767,25,KV Mechelen,7,KAA Gent,2,5
2009-2010,17,2009-12-05,20:00,986768,16,Standard Luik,3530,Germinal,2,2
2009-2010,17,2009-12-05,20:00,986769,322,KRC Genk,2024,KVC Westerlo,0,0
2009-2010,17,2009-12-05,20:00,986770,22,R Charleroi SC,373,Sint-Truidense VV,0,0
2009-2010,17,2009-12-05,20:00,986771,19,KV Kortrijk,5381,SV Zulte Waregem,1,0
2009-2010,17,2009-12-06,18:00,986773,282,KSC Lokeren,3,Club Brugge,0,1
2009-2010,17,2009-12-06,20:30,986774,12,Cercle Brugge,35,RSC Anderlecht,1,3
2009-2010,18,2009-12-11,20:30,988177,2024,KVC Westerlo,35,RSC Anderlecht,0,2
2009-2010,18,2009-12-12,20:00,988178,3,Club Brugge,25,KV Mechelen,1,1
2009-2010,18,2009-12-12,20:00,988179,16,Standard Luik,134,KSV Roeselare,0,1
2009-2010,18,2009-12-12,20:00,988180,373,Sint-Truidense VV,19,KV Kortrijk,0,2
2009-2010,18,2009-12-12,20:00,988182,3530,Germinal,22,R Charleroi SC,0,0
2009-2010,18,2009-12-13,18:00,988183,5381,SV Zulte Waregem,12,Cercle Brugge,1,0
2009-2010,18,2009-12-13,20:30,988184,7,KAA Gent,322,KRC Genk,2,1
2009-2010,19,2009-12-19,20:00,988193,322,KRC Genk,5381,SV Zulte Waregem,2,2
2009-2010,19,2009-12-19,20:00,988195,282,KSC Lokeren,7,KAA Gent,0,1
2009-2010,19,2009-12-19,20:00,988196,19,KV Kortrijk,2024,KVC Westerlo,1,1
2009-2010,19,2009-12-19,20:00,988197,134,KSV Roeselare,373,Sint-Truidense VV,1,2
2009-2010,19,2010-02-02,20:30,988192,25,KV Mechelen,3530,Germinal,1,0
2009-2010,19,2010-02-03,20:30,988199,35,RSC Anderlecht,3,Club Brugge,3,2
2009-2010,19,2010-02-04,20:30,988198,22,R Charleroi SC,16,Standard Luik,2,3
2009-2010,20,2009-12-26,18:00,988242,16,Standard Luik,282,KSC Lokeren,2,0
2009-2010,20,2009-12-26,20:00,988243,3,Club Brugge,12,Cercle Brugge,2,1
2009-2010,20,2009-12-26,20:00,988244,373,Sint-Truidense VV,25,KV Mechelen,5,2
2009-2010,20,2009-12-26,20:00,988245,22,R Charleroi SC,134,KSV Roeselare,3,0
2009-2010,20,2009-12-26,20:00,988247,3530,Germinal,322,KRC Genk,1,0
2009-2010,20,2009-12-27,18:00,988248,7,KAA Gent,35,RSC Anderlecht,2,2
2009-2010,20,2009-12-27,20:30,988249,5381,SV Zulte Waregem,2024,KVC Westerlo,1,0
2009-2010,21,2009-12-29,18:45,988250,322,KRC Genk,373,Sint-Truidense VV,0,0
2009-2010,21,2009-12-29,20:30,988251,12,Cercle Brugge,16,Standard Luik,2,0
2009-2010,21,2009-12-30,18:00,988252,19,KV Kortrijk,3,Club Brugge,1,4
